文件名,文件路径,策略类型,真策略,可执行,ML依赖,文件依赖,时间框架,市场类型,账户类型,ML库,代码行数,扫描状态,错误信息
63 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/63 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,194,valid,
63 生猪期货CTA策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/63 生猪期货CTA策略.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,分钟级,期货/股指,多账户,pandas; talib; numpy,494,valid,
64 ETF轮动策略升级-增加盘中止损.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/64 ETF轮动策略升级-增加盘中止损.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib,323,valid,
64 基于XGBoost_6m滚动选股全A小市值开板止盈策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/64 基于XGBoost_6m滚动选股全A小市值开板止盈策略.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,sklearn; pandas; scipy; statsmodels; xgboost; numpy,712,valid,
64 大小外择时小市值3.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/64 大小外择时小市值3.0.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib; numpy,547,valid,
65 低开买入小市值策略高频交易法3.0 总结.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/65 低开买入小市值策略高频交易法3.0 总结.txt,研究说明/非策略文档; 期货/股指策略,否,是,否,否,日线,期货/股指,单账户,,152,valid,
65 多因子指数增强.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/65 多因子指数增强.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,94,valid,
65 搭建量化交易模型从零开始——择时，选股，仓位管理和因子分析.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/65 搭建量化交易模型从零开始——择时，选股，仓位管理和因子分析.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略,否,是,是,否,分钟级,期货/股指,多账户,pandas; numpy,490,valid,
65 神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/65 神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,475,valid,
65 韶华研究之七 不可多得的基本面三角.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/65 韶华研究之七 不可多得的基本面三角.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,否,是,是,日线,期货/股指,单账户,sklearn,319,not_strategy,非策略文件（研究文档/配套资料）
66 ETF动量轮动MA乖离择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/66 ETF动量轮动MA乖离择时.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,numpy,129,valid,
66 PB-POE+双均线--加入jq以来第一个成功的交易策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/66 PB-POE+双均线--加入jq以来第一个成功的交易策略.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,137,valid,
66 SVR机器学习上证综指择时中小板财务选股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/66 SVR机器学习上证综指择时中小板财务选股策略.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,ETF,单账户,sklearn; pandas; statsmodels; numpy,318,valid,
67 RSRS择时改进-【成交量加权-钝化-右偏】.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/67 RSRS择时改进-【成交量加权-钝化-右偏】.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,scipy; statsmodels,182,valid,
67 三因子策略年化21%简单多因子策略框架.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/67 三因子策略年化21%简单多因子策略框架.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,139,valid,
67 回答wywy1995策略的一些问题.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/67 回答wywy1995策略的一些问题.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,7,not_strategy,无策略函数定义
67 基于动量和反转效应的沪深300成分股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/67 基于动量和反转效应的沪深300成分股策略.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,133,valid,
67 大市值价投高股息爱国者策略（爱我中华）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/67 大市值价投高股息爱国者策略（爱我中华）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,284,valid,
68 wywy1995 首板低开策略代码优化，提快速度.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/68 wywy1995 首板低开策略代码优化，提快速度.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,281,valid,
68 折价基金统计套利.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/68 折价基金统计套利.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,161,valid,
68 胜率78%，6年36倍，今年行情依然50%年化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/68 胜率78%，6年36倍，今年行情依然50%年化.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,130,valid,
68 说说对ETF轮动策略的看法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/68 说说对ETF轮动策略的看法.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,pandas; talib,233,valid,
68 配套资料.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/68 配套资料.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,4,not_strategy,非策略文件（研究文档/配套资料）
69 “稳定摸狗策略”学习笔记.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/69 “稳定摸狗策略”学习笔记.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,ETF,单账户,pandas; numpy,96,not_strategy,非策略文件（研究文档/配套资料）
69 人工智能早晨十字星模型（反转形态预测）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/69 人工智能早晨十字星模型（反转形态预测）.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; torch; numpy,362,valid,
69 场内基金定投价值平均增强策略，年化30%+.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/69 场内基金定投价值平均增强策略，年化30%+.txt,依赖ML库策略; ETF策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,ETF,多账户,numpy,333,valid,
69 宽基BBI动量追涨完美避开这波大跌.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/69 宽基BBI动量追涨完美避开这波大跌.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,210,valid,
69 神虽顶底+趋势.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/69 神虽顶底+趋势.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,469,valid,
70 上涨股策略2020年收益123%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/70 上涨股策略2020年收益123%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; talib; scipy; numpy,553,valid,
70 动态保形回归小市值策略改进.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/70 动态保形回归小市值策略改进.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,期货/股指,多账户,sklearn; pandas; xgboost; numpy,1712,valid,
70 致敬市场(12)——赚钱的策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/70 致敬市场(12)——赚钱的策略.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,56,valid,
70 超稳的股息率+均线选股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/70 超稳的股息率+均线选股策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,169,valid,
70 （股票交易模板）小市值-EPS-成长因子选股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/70 （股票交易模板）小市值-EPS-成长因子选股.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,182,valid,
71 【股指策略】【研报复现】周内与日内结合CTA.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/71 【股指策略】【研报复现】周内与日内结合CTA.txt,分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,多账户,,161,missing_api,missing_api
71 回踩均线搏反弹，21年来70%..txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/71 回踩均线搏反弹，21年来70%..txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,392,valid,
71 多因子模板分位法策略，年化65%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/71 多因子模板分位法策略，年化65%.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; statsmodels; numpy,295,valid,
71 期货日内策略三价均线结合ATR指标.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/71 期货日内策略三价均线结合ATR指标.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,分钟级,期货/股指,多账户,pandas; talib; numpy,255,valid,
71 （乱改一版）股票加“钱粮”ETF组合.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/71 （乱改一版）股票加“钱粮”ETF组合.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; scipy; numpy,574,valid,
72 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/72 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,是,是,是,分钟级,期货/股指,单账户,lightgbm,284,valid,
72 【股指期货】收盘折溢价策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/72 【股指期货】收盘折溢价策略.txt,多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,多账户,,197,valid,
72 桥水 全天候策略 增加一致性度量ES 风险控制.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/72 桥水 全天候策略 增加一致性度量ES 风险控制.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,260,valid,
72 量化进阶学习笔记——打板策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/72 量化进阶学习笔记——打板策略.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,分钟级,期货/股指,单账户,pandas,284,not_strategy,非策略文件（研究文档/配套资料）
72 随机森林 - 多因子模型.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/72 随机森林 - 多因子模型.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn; pandas; talib,407,valid,
73 优化了一下宽基etf追涨的策略，值得深入研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/73 优化了一下宽基etf追涨的策略，值得深入研究.txt,研究说明/非策略文档; ETF策略; 期货/股指策略,否,否,否,否,日线,ETF,单账户,,245,not_strategy,非策略文件（研究文档/配套资料）
73 基于期权PCR与标的波动率价差的股指期货套利.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/73 基于期权PCR与标的波动率价差的股指期货套利.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,否,是,是,分钟级,ETF,多账户,pandas; numpy,327,missing_api,missing_api
73 实现净利润跳空策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/73 实现净利润跳空策略.txt,分钟级/日内策略; 期货/股指策略,是,是,否,否,分钟级,期货/股指,单账户,,160,valid,
73 微盘400每日再平衡.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/73 微盘400每日再平衡.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,66,valid,
73 稳健趋势策略回测小，无未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/73 稳健趋势策略回测小，无未来函数.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,260,valid,
74 MACD多周期共振，精准打击！.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/74 MACD多周期共振，精准打击！.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas; talib; numpy,313,valid,
74 【动量应用V1】12年120倍，根据研报思路调整.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/74 【动量应用V1】12年120倍，根据研报思路调整.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,232,valid,
74 主观辅助_形态识别_单边上涨策略优化v3.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/74 主观辅助_形态识别_单边上涨策略优化v3.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib; statsmodels; numpy,255,valid,
74 趋势筛选后相关性最小etf轮动.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/74 趋势筛选后相关性最小etf轮动.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,151,valid,
74 迪马克TD趋势反转指标.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/74 迪马克TD趋势反转指标.txt,多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,日线,期货/股指,多账户,,300,missing_api,missing_api
75 ETF轮动策略-入门2.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/75 ETF轮动策略-入门2.0.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,395,valid,
75 勾股神器2，代码40行，年化一百点。.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/75 勾股神器2，代码40行，年化一百点。.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,talib; numpy,46,valid,
75 大市值价值投资优化一波.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/75 大市值价值投资优化一波.txt,ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,ETF,单账户,,199,valid,
75 最近2年年化100%以上回撤12%的打板策略-验证策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/75 最近2年年化100%以上回撤12%的打板策略-验证策略.txt,分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,多账户,,216,valid,
75 配套资料说明.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/75 配套资料说明.txt,研究说明/非策略文档; 期货/股指策略,否,否,否,否,日线,期货/股指,单账户,,29,not_strategy,非策略文件（研究文档/配套资料）
76 ETF-控制回撤性能拉满（国债ETF增强）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/76 ETF-控制回撤性能拉满（国债ETF增强）.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,pandas; talib; numpy,161,valid,
76 ETF基金溢价高收益低回测策略 改进版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/76 ETF基金溢价高收益低回测策略 改进版.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,talib,242,valid,
76 小市值止损策略【年化104.11% 最大回撤30.65%】.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/76 小市值止损策略【年化104.11% 最大回撤30.65%】.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,296,valid,
76 日内交易策略R-breaker.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/76 日内交易策略R-breaker.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas; numpy,127,valid,
76 机器学习策略分享.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/76 机器学习策略分享.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,是,是,是,日线,期货/股指,单账户,sklearn; pandas; talib,382,valid,
77 研报三因子II-新规高分红小市值-年化60回撤19.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/77 研报三因子II-新规高分红小市值-年化60回撤19.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,238,valid,
77 致敬市场（2）——随机选股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/77 致敬市场（2）——随机选股.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,57,valid,
77 超强单因子策略（EBITEV）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/77 超强单因子策略（EBITEV）.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas,173,valid,
77 配套资料说明.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/77 配套资料说明.txt,股票策略; 研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,10,not_strategy,非策略文件（研究文档/配套资料）
77 龙头弱转强战法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/77 龙头弱转强战法.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,250,valid,
78 ffscore选股加rsrs择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/78 ffscore选股加rsrs择时.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,541,valid,
78 【基金增强思考2.0】优秀基金的持续性与周期的关系密不可分.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/78 【基金增强思考2.0】优秀基金的持续性与周期的关系密不可分.txt,多账户/子账户策略; 期货/股指策略,是,是,否,否,日线,期货/股指,多账户,,129,valid,
78 国盛多因子系列选股体系和基于Lasso的收益预测模型策略（9大类共59个因子）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/78 国盛多因子系列选股体系和基于Lasso的收益预测模型策略（9大类共59个因子）.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,259,valid,
78 首板低开策略-终极版 最大回撤15%，年化50%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/78 首板低开策略-终极版 最大回撤15%，年化50%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,398,valid,
79 EPS+MS因子的大盘蓝筹策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 EPS+MS因子的大盘蓝筹策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,247,valid,
79 【多因子选股模型框架】(单因子各项指标评分细则).txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 【多因子选股模型框架】(单因子各项指标评分细则).txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,131,valid,
79 南澳 SVR选股的小市值策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 南澳 SVR选股的小市值策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; numpy,262,valid,
79 南澳推荐配套的随机森林选股的小市值策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 南澳推荐配套的随机森林选股的小市值策略.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,sklearn; pandas; numpy,256,valid,
79 国九条-新的红利因子，修正「审计意见」函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 国九条-新的红利因子，修正「审计意见」函数.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,497,valid,
79 实盘一周50%的妖股探测器.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/79 实盘一周50%的妖股探测器.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,numpy,485,valid,
80 【深度解析 一】经典小市值深度研究模型.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/80 【深度解析 一】经典小市值深度研究模型.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,否,否,否,是,分钟级,期货/股指,单账户,,217,not_strategy,非策略文件（研究文档/配套资料）
80 公募基金抱团.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/80 公募基金抱团.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,138,valid,
80 基本面01加RSI择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/80 基本面01加RSI择时.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,152,valid,
80 短线策略-2022年两个半月收益45%-无未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/80 短线策略-2022年两个半月收益45%-无未来函数.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,numpy,297,valid,
80 过滤两个因子，12年15倍的roa选股500指数增强.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/80 过滤两个因子，12年15倍的roa选股500指数增强.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,548,valid,
81 低PB小市值低换手策略总结.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/81 低PB小市值低换手策略总结.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,pandas; statsmodels; numpy,106,valid,
81 搞市场最靓的仔！指数ETF动量轮动策略-2.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/81 搞市场最靓的仔！指数ETF动量轮动策略-2.txt,ETF策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,ETF,单账户,,142,valid,
81 无杠杆，稳定盈利的etf轮动.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/81 无杠杆，稳定盈利的etf轮动.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,pandas; talib,249,valid,
81 配套资料说明.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/81 配套资料说明.txt,研究说明/非策略文档; 期货/股指策略,否,否,否,否,日线,期货/股指,单账户,,5,not_strategy,非策略文件（研究文档/配套资料）
82 低频，带基本面优化，带风控的，实盘模拟的小盘股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/82 低频，带基本面优化，带风控的，实盘模拟的小盘股策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,428,valid,
82 回报社区——基于Gyro老师策略的思考.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/82 回报社区——基于Gyro老师策略的思考.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,84,valid,
82 无需先验知识，动态选择的etf轮动策略，更具鲁棒性.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/82 无需先验知识，动态选择的etf轮动策略，更具鲁棒性.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,pandas; talib,297,valid,
83 回测“一创模拟盘2号”，最终改造优化，年化39%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/83 回测“一创模拟盘2号”，最终改造优化，年化39%.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas; numpy,363,valid,
83 大小外择时小市值.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/83 大小外择时小市值.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib; numpy,485,valid,
83 开盘幅度决定日内方向.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/83 开盘幅度决定日内方向.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,77,valid,
84 ETF网格交易策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/84 ETF网格交易策略.txt,ETF策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,ETF,单账户,,74,valid,
84 多大规模的基金收益最好？偏股基金规模研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/84 多大规模的基金收益最好？偏股基金规模研究.txt,研究说明/非策略文档; 多账户/子账户策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,多账户,pandas; numpy,234,not_strategy,非策略文件（研究文档/配套资料）
84 正黄旗大妈选股改进-加入涨停卖出后的买入，提高资金利用率.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/84 正黄旗大妈选股改进-加入涨停卖出后的买入，提高资金利用率.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,234,valid,
84 配套资料说明.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/84 配套资料说明.txt,股票策略; 研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,8,not_strategy,非策略文件（研究文档/配套资料）
